img_name,side,lx,ly,rx,ry,mx,my
calib_cam_0_00.jpg,right,543,640,562.25,636.75,549.5,642
calib_cam_0_02.jpg,right,538.5,632,550,631.5,544.75,635.25
calib_cam_0_03.jpg,left,855,615,866,615,861,618
calib_cam_0_03.jpg,right,529,631.5,540.5,631,535,634.5
calib_cam_0_05.jpg,left,836,590,846,590,841,593
calib_cam_0_05.jpg,right,519,605,530,605.5,525,608
calib_cam_0_06.jpg,left,827,591,838,592,833,594.5
calib_cam_0_06.jpg,right,510,609,521,609.5,516,612
calib_cam_0_06.jpg,right,510,609,522.5,614,517.5,616
calib_cam_0_06.jpg,right,516,612,522.5,614,517.5,616
calib_cam_0_07.jpg,left,817,610.5,829,612,823.5,614
calib_cam_0_11.jpg,right,489.5,621.5,502.5,620,497,624
calib_cam_0_12.jpg,left,803.5,602,815,602,810,604.5
calib_cam_0_12.jpg,left,784.25,613.25,795,610.5,789,613.5
calib_cam_0_12.jpg,right,485,623.5,497,622.5,491.5,625.5
calib_cam_0_13.jpg,left,799,603,809,602.5,804,605
calib_cam_0_13.jpg,right,479.5,623,490,623,485,626
calib_cam_0_14.jpg,left,785,602.5,796,603,791,605.5
calib_cam_0_14.jpg,right,466,624.5,477,625,472,627.5
calib_cam_0_16.jpg,left,813,598,824,598,819,600.5
calib_cam_0_16.jpg,right,493.5,622,504,622,499,624.5
calib_cam_0_17.jpg,left,809,601,821,602.5,815,604.5
calib_cam_0_17.jpg,right,489,625.5,501,626,495,629
calib_cam_0_20.jpg,right,518,633,532.5,632,526.5,635.5
calib_cam_0_21.jpg,right,517.5,633.5,531,632.5,525.5,636
calib_cam_0_21.jpg,right,513,635.5,531,632.5,525.5,636
calib_cam_0_22.jpg,left,834,611.5,846,611,840,614
calib_cam_0_22.jpg,right,510,633.5,521,633.5,516,636
calib_cam_0_23.jpg,left,827,612,837.5,612,832,614.5
calib_cam_0_23.jpg,right,502,634,513,634.5,508,637
calib_cam_0_24.jpg,right,486,602.5,497,603,492,605
calib_cam_0_25.jpg,left,795,586,805.5,586,800,588.5
calib_cam_0_25.jpg,right,473,608.5,483.5,609,479,611
calib_cam_0_26.jpg,left,781,587,792,587.5,786.5,590
calib_cam_0_26.jpg,right,459.5,612,471,612.5,465.5,615
calib_cam_0_27.jpg,left,775,590,789,591,781.5,593
calib_cam_0_27.jpg,right,454,615.5,467,615.5,461.75,618.25
calib_cam_0_29.jpg,right,500.5,619.5,516,620,510,622.5
calib_cam_0_30.jpg,left,802.5,602,815,601,809,606
calib_cam_0_31.jpg,left,801,599,813,599,807,602
calib_cam_0_31.jpg,right,478,623.5,489,624,484,626
calib_cam_0_32.jpg,left,791,600,802,600,797,602.5
calib_cam_0_32.jpg,right,468,626,479,626,474,628.5
calib_cam_0_34.jpg,left,776,601.5,787,601.5,782,604
calib_cam_0_34.jpg,right,453,628.5,464,629,459,631
calib_cam_0_35.jpg,left,768,601,779,601,773.5,603
calib_cam_0_35.jpg,right,444.5,629,456,629,450.75,631.25
calib_cam_0_36.jpg,left,756,603,769,603,762,605.5
calib_cam_0_36.jpg,right,447,633,460,633,456,637
calib_cam_0_36.jpg,right,440.5,636,460,633,456,637
